Entity,Code,Year,emissions_total
Canada,CAN,1785,3664.0
Canada,CAN,1786,3664.0
Canada,CAN,1787,3664.0
Canada,CAN,1788,3664.0
Canada,CAN,1789,3664.0
Canada,CAN,1790,3664.0
Canada,CAN,1791,3664.0
Canada,CAN,1792,3664.0
Canada,CAN,1793,3664.0
Canada,CAN,1794,3664.0
Canada,CAN,1795,3664.0
Canada,CAN,1796,3664.0
Canada,CAN,1797,3664.0
Canada,CAN,1798,3664.0
Canada,CAN,1799,3664.0
Canada,CAN,1800,3664.0
Canada,CAN,1801,3664.0
Canada,CAN,1802,3664.0
Canada,CAN,1803,3664.0
Canada,CAN,1804,3664.0
Canada,CAN,1805,3664.0
Canada,CAN,1806,3664.0
Canada,CAN,1807,3664.0
Canada,CAN,1808,3664.0
Canada,CAN,1809,3664.0
Canada,CAN,1810,3664.0
Canada,CAN,1811,3664.0
Canada,CAN,1812,3664.0
Canada,CAN,1813,3664.0
Canada,CAN,1814,3664.0
Canada,CAN,1815,3664.0
Canada,CAN,1816,3664.0
Canada,CAN,1817,3664.0
Canada,CAN,1818,3664.0
Canada,CAN,1819,3664.0
Canada,CAN,1820,3664.0
Canada,CAN,1821,3664.0
Canada,CAN,1822,3664.0
Canada,CAN,1823,3664.0
Canada,CAN,1824,3664.0
Canada,CAN,1825,3664.0
Canada,CAN,1826,3664.0
Canada,CAN,1827,3664.0
Canada,CAN,1828,3664.0
Canada,CAN,1829,3664.0
Canada,CAN,1830,3664.0
Canada,CAN,1831,3664.0
Canada,CAN,1832,3664.0
Canada,CAN,1833,3664.0
Canada,CAN,1834,3664.0
Canada,CAN,1835,3664.0
Canada,CAN,1836,3664.0
Canada,CAN,1837,3664.0
Canada,CAN,1838,3664.0
Canada,CAN,1839,3664.0
Canada,CAN,1840,3664.0
Canada,CAN,1841,3664.0
Canada,CAN,1842,3664.0
Canada,CAN,1843,3664.0
Canada,CAN,1844,3664.0
Canada,CAN,1845,3664.0
Canada,CAN,1846,25648.0
Canada,CAN,1847,32976.0
Canada,CAN,1848,40304.0
Canada,CAN,1849,47632.0
Canada,CAN,1850,58624.0
Canada,CAN,1851,69616.0
Canada,CAN,1852,84272.0
Canada,CAN,1853,102592.0
Canada,CAN,1854,124576.0
Canada,CAN,1855,150224.0
Canada,CAN,1856,179536.0
Canada,CAN,1857,216176.0
Canada,CAN,1858,263808.0
Canada,CAN,1859,315104.0
Canada,CAN,1860,381056.0
Canada,CAN,1861,458000.0
Canada,CAN,1862,560592.0
Canada,CAN,1863,703488.0
Canada,CAN,1864,842720.0
Canada,CAN,1865,1018592.0
Canada,CAN,1866,1242096.0
Canada,CAN,1867,1593840.0
Canada,CAN,1868,945312.0
Canada,CAN,1869,685168.0
Canada,CAN,1870,1223776.0
Canada,CAN,1871,1780704.0
Canada,CAN,1872,1846656.0
Canada,CAN,1873,1608496.0
Canada,CAN,1874,1623152.0
Canada,CAN,1875,1875968.0
Canada,CAN,1876,1857648.0
Canada,CAN,1877,2022527.9
Canada,CAN,1878,1934592.0
Canada,CAN,1879,2183744.0
Canada,CAN,1880,5232192.0
Canada,CAN,1881,5591264.0
Canada,CAN,1882,6617184.0
Canada,CAN,1883,7430592.0
Canada,CAN,1884,8599408.0
Canada,CAN,1885,8244000.5
Canada,CAN,1886,8797264.0
Canada,CAN,1887,10149280.0
Canada,CAN,1888,13311312.0
Canada,CAN,1889,11292448.0
Canada,CAN,1890,12413632.0
Canada,CAN,1891,13941520.0
Canada,CAN,1892,13890224.0
Canada,CAN,1893,14853856.0
Canada,CAN,1894,14179680.0
Canada,CAN,1895,13531152.0
Canada,CAN,1896,14648672.0
Canada,CAN,1897,14798896.0
Canada,CAN,1898,15707568.0
Canada,CAN,1899,19170048.0
Canada,CAN,1900,20628320.0
Canada,CAN,1901,23845312.0
Canada,CAN,1902,25648000.0
Canada,CAN,1903,27959984.0
Canada,CAN,1904,33096912.0
Canada,CAN,1905,35386910.0
Canada,CAN,1906,37387456.0
Canada,CAN,1907,46990800.0
Canada,CAN,1908,47408496.0
